,UploadDate,StoryTitle,VideoURL,Description,Status,DownloadManually,DownloadManuallyDrive,PreviewVideo,VideoId
12838,"November 7, 2023",Trick-Or-Treaters Dressed As Martians From Sesame Street And Nailed It!,https://www.sunnyskyz.com/happy-videos/12838,"A pair of trick-or-treaters decided to take their Halloween costumes to a whole new level this year by becoming Martians from Sesame Street, and let me tell you, they absolutely nailed it!",Downloaded,https://tikcdn.io/ssstik/7295717065309080864,https://drive.google.com/uc?export=download&id=1drFcqY0XBCdVoZlI2zC4LLktoKMZB2oI,https://drive.google.com/file/d/1drFcqY0XBCdVoZlI2zC4LLktoKMZB2oI/preview,1VVpGT_wQ_Z46UPJSJmE7MHBYpFoQZhCf
12836,"November 6, 2023",Fur-Ever Friends Watch These Dogs Become Soulmates,https://www.sunnyskyz.com/happy-videos/12836,"When it comes to heartwarming stories, there's something undeniably special about witnessing the beginnings of a beautiful friendship between our furry companions.",A,n,,,
12835,"November 6, 2023","Mom Makes Nonsensical Scribbles On Paper, Her Daughter Turns Them Into Art",https://www.sunnyskyz.com/happy-videos/12835,"When it comes to the world of art, it's often the unexpected and unconventional that yield the most remarkable results.",A,n,,,
12834,"November 6, 2023",Golfers Fight For Their Lives Against Dive-Bombing Birds In Hilarious Video,https://www.sunnyskyz.com/happy-videos/12834,"If you've ever thought that golf was just about battling the course and mastering the perfect swing, think again!",Downloaded,https://tikcdn.io/ssstik/7287355457226722561,https://drive.google.com/uc?export=download&id=17BS2EzSHt_7stwmXfeMdSBCo9WBoGdbZ,https://drive.google.com/file/d/17BS2EzSHt_7stwmXfeMdSBCo9WBoGdbZ/preview,1ZxjAeZpP7q_sXnRXH5q_MfikemnNpxUD
12831,"November 3, 2023",Border Collie Pup Can't Figure Out The Basement Stairs In Hilarious Video,https://www.sunnyskyz.com/happy-videos/12831,"We've all had our fair share of struggles and triumphs when it comes to mastering everyday tasks, and it appears that our canine companions are no exception. In a heartwarming and comical video that has taken the internet by storm, a group of border collies faced an unexpected challenge: the basement stairs.",Downloaded,https://tikcdn.io/ssstik/7293623112078314795,https://drive.google.com/uc?export=download&id=1O-a8uPmhQg8DIfq6W922T87xO4hZkrEk,https://drive.google.com/file/d/1O-a8uPmhQg8DIfq6W922T87xO4hZkrEk/preview,1S5nYBi_9Az7QWmURxiBeHuSd0B3kJ_cm
12830,"November 3, 2023","Bird Lifts Leg To Fart, Then Asks Who Did It",https://www.sunnyskyz.com/happy-videos/12830,"Pets have a unique way of bringing joy and laughter into our lives, and sometimes, their antics can leave us in stitches.",Downloaded,https://tikcdn.io/ssstik/7296667356846198047,https://drive.google.com/uc?export=download&id=17eZnfgRT4ixXBUKAYLGuGDfmUFZQVKnJ,https://drive.google.com/file/d/17eZnfgRT4ixXBUKAYLGuGDfmUFZQVKnJ/preview,1J0dLVOeNZffs8pzKyX2TyM3QxOusrEVS
12829,"November 3, 2023",Turtle Plays And Wins Game Of Tic-Tac-Toe,https://www.sunnyskyz.com/happy-videos/12829,"A turtle owner taught his beloved pet turtle to play Tic-Tac-Toe, all from inside its aquarium.",Downloaded,https://tikcdn.io/ssstik/7021304420050685189,https://drive.google.com/uc?export=download&id=1U_MtBVVUZdbPmwQAdynmNsnmzeTXLGMA,https://drive.google.com/file/d/1U_MtBVVUZdbPmwQAdynmNsnmzeTXLGMA/preview,1Ls1-kwUOq32uNCuZHH3LDKf_P3lAQTNM
12828,"November 2, 2023",Sisters' Incredible Roller Coaster Costume Wins The Internet,https://www.sunnyskyz.com/happy-videos/12828,Halloween is the perfect season for unleashing your imagination and creating awe-inspiring costumes.,Downloaded,https://tikcdn.io/ssstik/7293703462959992110,https://drive.google.com/uc?export=download&id=1DZVnPNjzdmz3STVukTZZkvFS-JWAYQuZ,https://drive.google.com/file/d/1DZVnPNjzdmz3STVukTZZkvFS-JWAYQuZ/preview,1YZ2KknsfOWWtsGFQOchwBHEQ1quZ8vS5
12824,"November 1, 2023",The Best Part About Pet Cows Is The Cuteness Aggression,https://www.sunnyskyz.com/happy-videos/12824,Bigger pets need bigger boops.,Downloaded,https://tikcdn.io/ssstik/7294294657234717994,https://drive.google.com/uc?export=download&id=17R5NS1xAsilMKr5O3tei9Bjol644Ddgx,https://drive.google.com/file/d/17R5NS1xAsilMKr5O3tei9Bjol644Ddgx/preview,1lOVLFLYF-rRgpzc2u3OB3wYFD6ka1cSO
12823,"November 1, 2023",Polite Trick-Or-Treaters Think Of Their Parents First,https://www.sunnyskyz.com/happy-videos/12823,"When it comes to Halloween, it's not just the costumes and the candy that make the night memorable.",Downloaded,https://tikcdn.io/ssstik/7161200853515242795,https://drive.google.com/uc?export=download&id=1cGR3Mv1YHfi6Sy5vWrhBtZ9CMjoYMyOE,https://drive.google.com/file/d/1cGR3Mv1YHfi6Sy5vWrhBtZ9CMjoYMyOE/preview,1y2pQIJ4PK80ZrBX0-N92qAEc9EEsf_tx
